country_code,country_name,year,gdp_per_capita,energy_kwh_per_capita,co2_per_capita,renewable_pct,population,water_stress_pct,ai_expansion_index,sustainability_score
ABW,Aruba,2023,35718.7531191634,,5.00284093555268,8.8,107359,,,51.99
AFE,Africa Eastern and Southern,2023,1571.44918918981,484.004411939864,0.838104192853686,65.7823798017466,750491370,5.04173888731344,0.029583836144587566,60.32
AFG,Afghanistan,2023,413.757894705303,,0.280995468771367,20.0,41454761,43.0159066808059,,61.44
AFW,Africa Western and Central,2023,1841.85506354867,207.456238648377,0.494008435504324,75.846980103796,509398589,1.70531279998314,0.0,61.01
AGO,Angola,2023,2916.13663284275,379.103010494775,0.743838637301548,52.9,36749906,0.476824324324324,0.0,60.51
ALB,Albania,2023,9730.86921906893,2888.86725667383,1.74914408919284,41.9,2414095,2.96282527881041,0.14100009525916218,58.5
AND,Andorra,2023,46812.4261013102,,,18.7,80856,,,61.0
ARB,Arab World,2023,7513.89907880749,2739.43764241097,4.55256379383056,5.17060073389405,482105978,203.775399457341,0.15102251036758174,52.89
ARE,United Arab Emirates,2023,49850.6872175164,15284.7010578561,18.3804823292732,1.0,10483751,1509.93333333333,0.6257477581483173,25.24
ARG,Argentina,2023,14261.8465667948,2821.77233232234,4.16990486776205,9.2,45538401,12.9075342465753,0.1669124467518128,53.66
ARM,Armenia,2023,8159.08720967996,2386.06079006848,2.52966973653139,9.1,2964300,44.787869951888,0.10226853423184315,56.94
ASM,American Samoa,2023,18017.4589383973,,0.00210433282127901,0.4,47521,,,62.0
ATG,Antigua and Barbuda,2023,21494.5474000727,,3.68747053024133,0.9,93316,8.46153846153846,,54.63
AUS,Australia,2023,65058.3773146674,9819.87119092096,14.1596700845561,12.3,26659922,2.36178861788618,0.8421110925927187,33.68
AUT,Austria,2023,56579.504175468,7860.14877086687,6.40359510066021,36.0,9131761,5.70909090909091,0.5068169428934433,49.19
AZE,Azerbaijan,2023,7133.02838048328,2366.9587760753,4.1112835014681,1.3,10153958,160.52988293284,0.10043171381403034,53.78
BDI,Burundi,2023,250.627253097255,,0.0693599815916636,83.0,13689450,2.78429423459245,,61.86
BEL,Belgium,2023,55291.4754541329,6931.1013819588,7.27763098404696,11.7,11779946,35.833461825,0.5308444021123356,47.44
BEN,Benin,2023,1394.17784721831,114.662043901248,0.488426291085402,54.5,14111034,1.2621359223301,0.0,61.02
BFA,Burkina Faso,2023,873.482589651003,133.328839818471,0.272029919860247,71.4,23025776,6.544,0.090094869058398,61.46
BGD,Bangladesh,2023,2551.01773827307,602.897385671726,0.693947563901367,25.0,171466990,34.1619047619048,0.0036609210932028423,60.61
BGR,Bulgaria,2023,15853.208636704,5360.50343468088,5.73490257494032,20.4,6446596,25.9211136285714,0.2175098794500101,50.53
BHR,Bahrain,2023,29290.1284215098,23120.2510495803,24.5323732339754,0.0,1577059,3877.5,0.5107185808263252,22.0
BHS,"Bahamas, The",2023,38231.774484278,,3.52944121770479,1.1,399440,,,54.94
BIH,Bosnia and Herzegovina,2023,8663.02326458629,3676.52483946208,6.53950474604507,36.6,3185073,0.878971830985916,0.11712602924613387,48.92
BLR,Belarus,2023,7896.75388295584,4197.72816267243,5.86387585149229,8.2,9178298,4.15882352941177,0.11705157871164633,50.27
BLZ,Belize,2023,7424.75821321022,,0.913632980301917,30.8,411106,0.661861074705111,,60.17
BMU,Bermuda,2023,132604.439086216,,3.99239543726236,0.9,64698,,,54.02
BOL,Bolivia,2023,4274.70820547613,890.13871838809,1.99475521348588,12.8,12244159,0.118644412191104,0.01849291492359352,58.01
BRA,Brazil,2023,10377.5897719195,2916.48609397384,2.27447826989363,46.5,211140729,1.20014131778838,0.13143587101085621,57.45
BRB,Barbados,2023,25583.878782727,,2.44602176130568,5.5,282336,87.5,,57.11
BRN,Brunei Darussalam,2023,32890.5491812019,10674.3886575633,21.14308997296,0.0,458949,1.08235294117647,0.45040761722048267,22.0
BTN,Bhutan,2023,3831.32535494609,,1.98465128404026,82.5,786385,0.433205128205128,,58.03
BWA,Botswana,2023,7826.35376483298,1640.96758222175,2.7096930785842,27.4,2480244,8.88565995833333,0.08851486490925166,56.58
CAF,Central African Republic,2023,495.978897288721,,0.0645327701288385,90.9,5152421,0.0514184397163121,,61.87
CAN,Canada,2023,54220.3285039875,14459.8957515769,14.1478944295361,23.8,40083484,1.26764912280702,0.9084383899953519,33.7
CEB,Central Europe and the Baltics,2023,22690.3736174216,4357.73453661482,6.09126991078499,19.6977838168354,100183707,12.7198048611167,0.2406979849275855,49.82
CHE,Switzerland,2023,100623.549627296,7174.96649162285,3.78746475067225,27.7,8888822,4.21782178217822,0.5508099461772145,54.43
CHI,Channel Islands,2023,74585.5224096294,,,,167691,,,61.0
CHL,Chile,2023,17067.0364799154,4322.99269005513,3.91719041336885,24.2,19658835,3.99638418079096,0.1754231686939689,54.17
CHN,China,2023,12951.1782397043,6523.71926193193,9.23027553501428,15.2,1410710000,20.2097479469587,0.4897458564597989,43.54
CIV,Cote d'Ivoire,2023,2591.9659048119,353.81898290984,0.575152377678325,58.2,31165654,1.51223321186882,0.02985641252909335,60.85
CMR,Cameroon,2023,1720.47510154506,226.09772560491,0.364184752751828,79.2,28372687,0.398681318681319,0.026244467795713385,61.27
COD,"Congo, Dem. Rep.",2023,660.21205238997,128.528543096494,0.0580434409082674,96.3,105789731,0.0759555555555556,0.0,61.88
COG,"Congo, Rep.",2023,2477.97845544866,338.353373869965,1.27244805620677,71.4,6182885,0.0207207207207207,0.009784959702679724,59.46
COL,Colombia,2023,7000.83660501046,1552.83278166352,1.77360964835025,29.7,52321152,1.13117202797203,0.11605920432362873,58.45
COM,Comoros,2023,1560.27378476855,,0.515412394592109,39.3,850387,0.833333333333333,,60.97
CPV,Cabo Verde,2023,4794.90121917259,,1.24595323654924,21.8,522331,59.68371,,59.51
CRI,Costa Rica,2023,16942.0268119375,2206.04149426357,1.58608566210135,34.2,5105525,3.05029203539823,0.16858963876636726,58.83
CSS,Caribbean small states,2023,17596.5404249612,,8.14450926391357,6.28843567906768,4519904,0.741356900037772,,45.71
CUB,Cuba,2023,9605.27914559614,1461.7151414106,1.81740702369189,20.9,11019931,18.2528856243442,0.07076880138993474,58.37
CUW,Curacao,2023,21217.8110321785,5276.29417926468,,2.8,154654,,0.2697031884345694,58.48
CYM,Cayman Islands,2023,99143.5180243123,,4.92072619732194,0.0,73038,,,52.16
CYP,Cyprus,2023,36623.69140625,3841.70423858864,5.35563459868429,15.6,1344976,28.5897435897436,0.2783244161921759,51.29
CZE,Czechia,2023,31761.5944102491,5965.3672178366,7.88005974203708,17.2,10864042,10.9885931558935,0.37674502940981575,46.24
DEU,Germany,2023,54776.7668235491,5947.27119952649,7.07982839106762,17.6,83287273,24.1052046728972,0.6960129465815743,47.84
DJI,Djibouti,2023,3381.29779710722,,0.763263436905869,26.9,1152944,6.33333333333333,,60.47
DMA,Dominica,2023,9912.96212766668,,1.22387610885581,8.9,66510,10.0,,59.55
DNK,Denmark,2023,68043.5466971243,5878.13723736126,4.4073670007762,39.5,5946952,15.5725,0.5367205185105464,53.19
DOM,Dominican Republic,2023,10630.431743829,1867.39962396078,2.89366632939923,14.8,11331265,30.3702127659574,0.09091078135238115,56.21
DZA,Algeria,2023,5370.477235078,1827.95251014644,4.12827519079225,0.1,46164219,91.5088468035921,0.08349660797125473,53.74
EAP,East Asia & Pacific (excluding high income),2023,10125.9095208645,4919.99504585338,7.05574473677688,16.1762699381612,2137527754,12.3686818359983,0.152929218754909,47.89
EAR,Early-demographic dividend,2023,4252.59733415786,1454.18936102229,2.48578818948767,24.9895503831566,3511607650,16.1490997872843,0.0,57.03
EAS,East Asia & Pacific,2023,13176.1786055635,5352.80046107009,7.28175538742866,14.8081424064458,2384441485,12.0291205717529,0.12856314065492191,47.44
ECA,Europe & Central Asia (excluding high income),2023,8617.04840986329,3152.08890920527,5.1226828851112,10.0604471757322,248721385,31.2946590860992,0.12594475523494886,51.75
ECS,Europe & Central Asia,2023,29988.9022903108,5313.52007261407,6.62998652120757,15.106449203531,924773523,6.64491801301048,0.31620627987962857,48.74
ECU,Ecuador,2023,6737.84748379638,1675.63186443578,2.60232947756693,18.9,17980083,2.24136528028933,0.10451979811719461,56.8
EGY,"Egypt, Arab Rep.",2023,3456.78968456253,1492.89603600873,2.40830000255291,6.1,114535772,7750.0,0.05123564515661115,57.18
EMU,Euro area,2023,45330.1093015768,5885.02968020703,5.51904385053362,19.8074872686191,349762722,14.6465954774102,0.3961870886179599,50.96
ERI,Eritrea,2023,,123.329078288031,0.220205798195592,80.7,3470390,20.7857142857143,,61.56
ESP,Spain,2023,33493.2225409111,5117.82961999422,4.57046216901007,19.0,48352528,26.0971223021583,0.28694591568039346,52.86
EST,Estonia,2023,30264.0064885057,5722.16311047475,8.37350742837627,38.0,1370286,9.48447483870968,0.3145744594706653,45.25
ETH,Ethiopia,2023,1055.81091592527,112.555828390227,0.147767891652244,90.6,128691692,8.64598360655738,0.009707734764694727,61.7
EUU,European Union,2023,41566.5741100785,5736.06612172495,5.59079756161286,21.0591470733795,448897545,13.6041278581538,0.3950247233324459,50.82
FCS,Fragile and conflict affected situations,2023,1682.75058845476,431.075815997815,0.824129825469762,61.665418044345,1057033168,4.64480814029141,0.0,60.35
FIN,Finland,2023,52834.2916752703,14392.7795410779,5.88954587564164,50.2,5583911,2.80373831775701,0.6547654388268642,50.22
FJI,Fiji,2023,5926.20586394763,,1.55581645737411,28.4,924145,0.297373029772329,,58.89
FRA,France,2023,44700.1384177544,6415.02611160317,4.15598361008436,16.2,68372286,12.2138298,0.6377717217921994,53.69
FRO,Faroe Islands,2023,72465.3769660215,,0.0385930091520565,7.9,54414,,,61.92
FSM,"Micronesia, Fed. Sts.",2023,3919.64307910859,,0.00177572582793217,2.0,112630,,,62.0
GAB,Gabon,2023,7802.82433276138,1023.42693886684,2.06073835645602,91.3,2484789,0.0848170731707317,0.05629457725313182,57.88
GBR,United Kingdom,2023,49944.4702124201,4231.37008701746,4.44995911931321,12.2,68492000,5.80620689655172,0.657071266008182,53.1
GEO,Georgia,2023,8283.66960652261,3382.3327949556,3.64859696572424,25.2,3715483,2.22497849647342,0.1284741228769084,54.7
GHA,Ghana,2023,2383.90410483418,564.994926884211,0.687364126711107,39.0,33787914,4.78085808580858,0.10616405451503381,60.63
GIB,Gibraltar,2023,,5016.7658755946,16.3551766265499,0.0,38471,,,29.29
GIN,Guinea,2023,1555.49375806861,,0.348923061715176,66.6,14405468,0.393805309734513,,61.3
GMB,"Gambia, The",2023,883.024111719809,,0.17562165357906,47.7,2697845,3.38666666666667,,61.65
GNB,Guinea-Bissau,2023,988.087886357022,,0.152925294159443,87.4,2153339,1.09375,,61.69
GNQ,Equatorial Guinea,2023,6677.793435386,792.401175828084,2.57914675064098,4.2,1847549,0.0761538461538462,0.08851516059841494,56.84
GRC,Greece,2023,23343.7103964562,4693.50942425215,4.92324127436463,21.5,10407351,17.3224137931035,0.22265670539483257,52.15
GRD,Grenada,2023,11414.4781691181,,1.45113212220599,10.0,117081,7.05,,59.1
GRL,Greenland,2023,58498.9707973609,,10.2857645300273,11.7,56865,,,41.43
GTM,Guatemala,2023,5758.32760847852,733.082414309027,1.11051475329048,62.1,18124838,3.04404761904762,0.09956551379379297,59.78
GUM,Guam,2023,41833.1517132825,,0.00180173687434687,6.7,166506,,,62.0
GUY,Guyana,2023,20473.7002190617,,4.52651590785052,12.1,826353,0.599460580912863,,52.95
HKG,"Hong Kong SAR, China",2023,50562.3633144379,6359.12474622152,4.52746115364711,0.4,7536100,,0.5181412472135488,52.95
HND,Honduras,2023,3227.45762509776,752.100710474952,1.11312971877201,45.9,10644851,1.77255680564747,0.0,59.77
HPC,Heavily indebted poor countries (HIPC),2023,1155.90445279924,219.822768115579,0.315254506603433,76.0353291030768,917304254,2.82507303517576,0.0,61.37
HRV,Croatia,2023,22184.2279304842,4484.04352063873,4.83573016043274,34.1,3859686,1.80106100795756,0.26219018871859023,52.33
HTI,Haiti,2023,1705.75808460999,76.2369643049319,0.290485897277037,76.7,11637398,11.1478434689014,0.04945751732593448,61.42
HUN,Hungary,2023,22230.6277875187,4604.58127063007,4.48048025757632,15.3,9592186,78.247,0.2596603360969583,53.04
IBD,IBRD only,2023,7925.3992413749,3347.0754425674,5.10747444291865,18.0085051596372,4952212190,9.46700662925661,0.12537577748853806,51.79
IBT,IDA & IBRD total,2023,6149.50554558945,2584.51002187732,3.85120364940695,23.435247290857,6858521511,9.2469584388369,0.07591924865666175,54.3
IDA,IDA total,2023,1536.08719237098,374.688030110124,0.569774412726846,63.7525629244284,1906309321,8.39712394746432,0.002672715154097347,60.86
IDB,IDA blend,2023,1915.31328433422,424.614669111507,0.828158040447366,60.0736911684857,664395892,18.0297647162159,0.07666015849255492,60.34
IDN,Indonesia,2023,4876.30774512252,1445.21463483986,2.74747187282401,20.2,281190067,11.0286322881062,0.10472594911981178,56.51
IDX,IDA only,2023,1333.20971979026,344.012543440693,0.43006382401365,67.3560634206125,1241913429,4.88275867650096,0.021663950758459696,61.14
IMN,Isle of Man,2023,88328.548125887,,,2.7,84165,,,61.0
IND,India,2023,2530.12031278204,1181.63126786529,2.09622858892568,34.9,1438069596,44.7786998616874,0.22907409886871105,57.81
IRL,Ireland,2023,106818.917130804,6144.73623270699,6.1870780177041,12.7,5311538,3.41428571428571,0.5237012998239757,49.63
IRN,"Iran, Islamic Rep.",2023,5049.29931642754,3814.54510767933,9.00722487961339,0.9,90608707,72.3346303501945,0.09281752790295297,43.99
IRQ,Iraq,2023,5965.31835077761,1377.37792315929,5.16873911194444,1.1,45074049,120.521875,0.08637150151882896,51.66
ISL,Iceland,2023,82138.7892973557,50951.2190694985,8.34925829026897,82.4,385663,0.170588235294118,0.6804574598915665,45.3
ISR,Israel,2023,52003.7200729997,6772.05807696213,6.14077571327038,6.2,9849000,204.0,0.690222338782795,49.72
ITA,Italy,2023,39277.0838783918,5047.46897034285,5.1591446091273,17.5,58984216,18.5112328767123,0.3483010113938212,51.68
JAM,Jamaica,2023,7542.40084275345,1204.66823908562,2.7128452636924,10.5,2839786,12.3828188764668,0.07322078298171418,56.57
JOR,Jordan,2023,4466.08314208575,1857.90753262484,2.10161310922351,11.5,11439213,139.277126099707,0.08175294385488396,57.8
JPN,Japan,2023,33836.1756271617,7655.01641748312,8.05063579850566,8.8,124516650,18.5348837209302,0.5032185539118381,45.9
KAZ,Kazakhstan,2023,12879.4275257974,5145.57131631004,12.5643331681924,2.0,20330104,38.7972027972028,0.18736665913180797,36.87
KEN,Kenya,2023,1942.58802756191,190.082933008388,0.3843202596187,67.7,55339003,19.4782608695652,0.04225889777398528,61.23
KGZ,Kyrgyz Republic,2023,2138.22210211478,2068.80523962111,1.44095214620233,27.6,7099750,15.7510729613734,0.04785965443189964,59.12
KHM,Cambodia,2023,2429.74853452838,932.398524324088,1.08564797278218,52.4,17423880,1.81094527363184,0.0,59.83
KIR,Kiribati,2023,2177.70125812262,,0.573455066777333,41.9,132530,,,60.85
KNA,St. Kitts and Nevis,2023,22576.9248439166,,2.7909662517644,1.5,46758,50.8333333333333,,56.42
KOR,"Korea, Rep.",2023,35674.095995632,11426.0699114852,11.4162657281001,3.6,51712619,45.0223592906708,0.7253516508362835,39.17
KWT,Kuwait,2023,34075.849012909,16496.2026776994,22.6972114508944,0.1,4853420,,0.540778355798146,22.0
LAC,Latin America & Caribbean (excluding high income),2023,10196.271088969,2336.80485001788,2.53734435160177,34.931181287891,589889543,2.61905961548582,0.11020956998250848,56.93
LAO,Lao PDR,2023,2066.94979776957,1664.71123978848,3.35860711157858,49.2,7664993,3.86029411764706,0.0,55.28
LBN,Lebanon,2023,3477.72489842684,975.319446996818,1.87387427333851,6.8,5773493,37.75,0.0,58.25
LBR,Liberia,2023,799.194470229642,,0.152830013156671,92.8,5493031,0.07295,,61.69
